"Laikotarpis","Rodiklis","Administracinė teritorija","Gyvenamoji vietovė","Matavimo vienetai","Reikšmė"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","566215"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","566018"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","197"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","559122"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","558738"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","384"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas ir kaimas","asmenys","576195"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Miestas","asmenys","575809"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus m. sav.","Kaimas","asmenys","386"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","100879"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4471"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","96408"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","96712"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4800"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","91912"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas ir kaimas","asmenys","99350"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Miestas","asmenys","4678"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vilniaus r. sav.","Kaimas","asmenys","94672"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1970794"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1234479"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","736315"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1994892"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1267511"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","727381"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas ir kaimas","asmenys","1996907"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Miestas","asmenys","1275075"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Vidurio ir vakarų Lietuvos regionas","Kaimas","asmenys","721832"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","133319"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","76288"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","57031"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","136795"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","80544"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","56251"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas ir kaimas","asmenys","135748"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Miestas","asmenys","80406"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus apskritis","Kaimas","asmenys","55342"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","49607"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","49607"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","52256"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","52256"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas ir kaimas","asmenys","52020"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Miestas","asmenys","52020"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus m. sav.","Kaimas","asmenys",
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","25863"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2112"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23751"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","25516"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2232"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23284"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas ir kaimas","asmenys","25278"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Miestas","asmenys","2158"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Alytaus r. sav.","Kaimas","asmenys","23120"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","19059"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","11993"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7066"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","19997"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","12854"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7143"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas ir kaimas","asmenys","20178"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Miestas","asmenys","13126"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Druskininkų sav.","Kaimas","asmenys","7052"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18083"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","4726"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","13357"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","18083"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","5099"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","12984"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas ir kaimas","asmenys","17673"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Miestas","asmenys","5011"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Lazdijų r. sav.","Kaimas","asmenys","12662"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","20707"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","7850"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","12857"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","20943"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","8103"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","12840"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas ir kaimas","asmenys","20599"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Miestas","asmenys","8091"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Varėnos r. sav.","Kaimas","asmenys","12508"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","564593"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","389656"
"2020","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","174937"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","569602"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","399599"
"2021","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Kaimas","asmenys","170003"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas ir kaimas","asmenys","573833"
"2022","Nuolatinių gyventojų skaičius liepos 1 d.","Kauno apskritis","Miestas","asmenys","401649"
